Depth,CALI,CGR,DT,ILD,NPHI,PEF,PHIE,RHOB,RT,SGR,SW,Φda,ΦN,ΦND,Vpreal,ΔVp
3167.33,8.87,6.47,72.96,93.04,0.15,4.09,0.11,2.59,93.75,67.37,0.13,0.14054054054054066,0.15,0.14534724547687058,4.177631578947369,0.8651641819729292
3167.48,8.85,5.16,73.35,94.85,0.13,4.2,0.1,2.6,97.03,67.98,0.14,0.13513513513513511,0.13,0.13259242955009015,4.155419222903886,0.7617578430598737
3167.63,8.85,3.91,73.65,100.39,0.12,4.31,0.09,2.6,100.35,67.92,0.15,0.13513513513513511,0.12,0.12779183218811607,4.138492871690428,0.7065242188056828
3167.78,,,,,,,,,,,,,,,,
3167.79,8.85,2.91,73.72,100.28,0.12,4.41,0.09,2.6,100.74,67.44,0.16,0.13513513513513511,0.12,0.12779183218811607,4.134563212154097,0.7049733226931094
3167.94,8.9,2.26,73.43,101.45,0.11,4.49,0.09,2.61,101.77,66.73,0.17,0.12972972972972985,0.11,0.120270118432944,4.150892005992101,0.661589442934519
3168.09,8.86,2.0,72.75,102.28,0.11,4.53,0.09,2.61,103.22,65.67,0.17,0.12972972972972985,0.11,0.120270118432944,4.189690721649485,0.6760447952539113
3168.24,8.76,2.1,71.79,104.68,0.11,4.56,0.08,2.62,104.38,64.3,0.18,0.1243243243243243,0.11,0.11738087071303352,4.245716673631425,0.6971196384795912
3168.39,,,,,,,,,,,,,,,,
3168.4,8.83,2.58,70.64,103.93,0.11,4.57,0.08,2.62,101.27,62.8,0.18,0.1243243243243243,0.11,0.11738087071303352,4.314835787089468,0.7234438163484724
3168.55,8.79,3.33,69.57,97.18,0.11,4.56,0.09,2.62,95.39,61.3,0.18,0.1243243243243243,0.11,0.11738087071303352,4.38119879258301,0.7490514284518954
3168.7,8.78,4.12,68.68,92.62,0.11,4.54,0.09,2.61,91.61,59.77,0.16,0.12972972972972985,0.11,0.120270118432944,4.437973209085614,0.771215114067497
3168.85,8.72,4.71,68.13,90.04,0.12,4.51,0.11,2.59,90.8,58.13,0.14,0.14054054054054066,0.12,0.13067448782265678,4.473800088066931,0.8432577936785486
3169.0,,,,,,,,,,,,,,,,
3169.01,8.75,5.0,67.95,91.97,0.14,4.49,0.12,2.56,92.93,56.33,0.11,0.15675675675675677,0.14,0.1486147381468221,4.485651214128035,0.9593835278362852
3169.16,8.75,5.04,67.97,94.42,0.16,4.47,0.14,2.53,94.42,54.48,0.1,0.17297297297297312,0.16,0.1666127986967221,4.484331322642342,1.0632562430641848
3169.31,8.6,5.06,68.09,94.43,0.17,4.47,0.15,2.5,94.02,53.01,0.08,0.18918918918918923,0.17,0.1798507010078955,4.476428256719048,1.109019426993048
3169.46,8.62,5.31,68.19,93.38,0.19,4.46,0.16,2.48,92.69,52.26,0.08,0.20000000000000004,0.19,0.19506409203131161,4.469863616366037,1.2006664681184573
3169.61,,,,,,,,,,,,,,,,
3169.62,8.65,5.87,68.25,91.62,0.19,4.45,0.17,2.47,90.93,52.28,0.07,0.20540540540540533,0.19,0.1978526984523574,4.465934065934066,1.198440163004792
3169.77,8.65,6.58,68.29,89.85,0.2,4.4,0.17,2.47,89.53,52.81,0.07,0.20540540540540533,0.2,0.20272071991999108,4.463318201786499,1.2424204082282944
3169.92,8.66,7.04,68.34,89.04,0.2,4.33,0.17,2.48,88.86,53.34,0.08,0.20000000000000004,0.2,0.2,4.460052677787533,1.2405157502904904
3170.07,8.67,6.99,68.45,88.58,0.2,4.21,0.16,2.5,88.47,53.42,0.08,0.18918918918918923,0.2,0.19466965519317955,4.452885317750183,1.2363382514774939
3170.22,8.71,6.28,68.67,88.31,0.2,4.1,0.16,2.51,88.39,52.74,0.08,0.18378378378378393,0.2,0.19206311356151218,4.438619484491044,1.2280355121307172
3170.37,,,,,,,,,,,,,,,,
3170.38,8.7,5.14,68.98,88.52,0.2,4.0,0.16,2.53,88.42,51.37,0.08,0.17297297297297312,0.2,0.18697546547489713,4.418672078863438,1.2164532185507806
3170.53,8.74,3.92,69.26,88.27,0.19,3.95,0.15,2.55,88.07,49.45,0.08,0.1621621621621623,0.19,0.17663035814534747,4.400808547502166,1.1617218679273282
3170.68,8.75,2.94,69.45,87.77,0.18,3.92,0.15,2.58,86.85,47.24,0.09,0.14594594594594595,0.18,0.16386003041934444,4.388768898488121,1.1095512630106015
3170.83,8.83,2.38,69.39,85.43,0.16,3.92,0.15,2.6,85.15,44.9,0.09,0.13513513513513511,0.16,0.1480903520625014,4.392563769995677,1.016684911769298
3170.98,,,,,,,,,,,,,,,,
3170.99,8.82,2.29,68.93,84.71,0.16,3.92,0.14,2.63,83.63,42.62,0.1,0.11891891891891902,0.16,0.14096401894959656,4.421877266792398,1.0314887069066572
3171.14,8.81,2.51,68.16,81.96,0.15,3.91,0.13,2.64,81.72,40.61,0.1,0.11351351351351349,0.15,0.13301375445829391,4.471830985915493,1.005673780675318
3171.29,8.83,2.93,67.12,81.34,0.14,3.88,0.13,2.65,80.83,39.36,0.11,0.1081081081081082,0.14,0.12507470375482488,4.5411203814064365,0.9854901669487401
3171.44,8.91,3.42,65.91,80.03,0.14,3.85,0.12,2.66,79.87,39.14,0.12,0.10270270270270267,0.14,0.12277590387050656,4.624487938097406,1.0251652909420281
